lid,fid,location_name,lat,lng
253,1910,HOUSTON TX,29.8289,-95.37927
255,1911,BURLESON TX,32.5613,-97.31773
257,1912,ROGERS AR,36.33455,-94.18213
259,1914,HOT SPRINGS AR,34.46114,-93.0613
261,1915,LAFAYETTE LA,30.16644,-92.06109
263,1919,FORT SMITH AR,35.35094,-94.34584
265,1920,SAN MARCOS TX,29.88542,-97.92138
267,1921,ALBUQUERQUE NM,35.17462,-106.5566
269,1922,ALBUQUERQUE NM,35.21076,-106.65534
271,1924,SELMA TX,29.5629,-98.32812
273,1930,BATON ROUGE LA,30.42081,-91.14101
275,1934,EL PASO TX,31.81989,-106.54364
277,1935,SAN ANTONIO TX,29.54985,-98.66473
279,1941,TEMPLE TX,31.0916,-97.38847
281,1947,CLEAR LAKE SHORES TX,29.54028,-95.02591
283,1950,TOMBALL TX,30.01346,-95.59195
285,1953,DENISON TX,33.76373,-96.58651
287,1955,SAN ANTONIO TX,29.41923,-98.64864
289,2004,MARSHALL TX,32.49302,-94.3596
291,2006,LAFAYETTE LA,30.29381,-92.02344
293,2027,WILLIAMSBURG VA,37.3451,-76.74022
295,2032,OLIVE BRANCH MS,34.96654,-89.85495
297,2034,BATON ROUGE LA,30.52112,-91.15309
299,2042,PORTSMOUTH VA,36.83022,-76.33967
301,2044,EVANS GA,33.54232,-82.13358
303,2060,SAN ANTONIO TX,29.48551,-98.53623
305,2065,AUGUSTA GA,33.41046,-82.02717
307,2084,ATLANTA GA,33.77333,-84.37326
309,2087,MACON GA,32.89875,-83.68857
311,2092,VIRGINIA BEACH VA,36.7722,-76.08459
313,2097,SAINT LOUIS MO,38.50518,-90.32753
315,2099,NEW YORK NY,40.80493,-73.93722
317,2100,PHOENIX AZ,33.55336,-112.10188
319,2109,LAWTON OK,34.622921,-98.444347
321,2118,WICHITA KS,37.647741,-97.334818
323,2126,LONGMONT CO,40.143918,-105.12836
325,2137,"Glen Burnie, MD",39.178129,-76.616423
327,3001,WACO TX,31.50916,-97.14348
329,3003,AMARILLO TX,35.19322,-101.81859
331,3009,LANCASTER TX,32.59805,-96.82172
333,3012,EL PASO TX,31.76015,-106.27135
335,3020,EL PASO TX,31.78079,-106.41035
337,3032,KERRVILLE TX,30.05907,-99.12656
339,3035,CHULA VISTA CA,32.6065,-117.08027
341,3038,CASA GRANDE AZ,32.8803,-111.69838
343,3039,PHOENIX AZ,33.37828,-112.03561
345,3040,INDIANAPOLIS IN,39.85492,-86.00769
347,3042,SEGUIN TX,29.60134,-97.95134
349,3048,MC DONOUGH GA,33.43263,-84.17574
351,3055,BECKLEY WV,37.79106,-81.21127
353,3057,CHARLES TOWN WV,39.30069,-77.84322
355,3058,ASHLAND KY,38.50302,-82.67902
357,3060,MORGANTOWN WV,39.650773,-79.962058
359,3066,LAFAYETTE IN,40.41702,-86.82634
361,3080,PEORIA AZ,33.56521,-112.28772
363,3081,PRESCOTT VALLEY AZ,34.58593,-112.34209
365,3082,MESA AZ,33.39379,-111.60049
367,3083,PHOENIX AZ,33.71238,-112.10478
369,3084,QUEEN CREEK AZ,33.22331,-111.686
371,3085,GILBERT AZ,33.37864,-111.75597
373,3086,MESA AZ,33.43302,-111.87085
375,3092,ALBUQUERQUE NM,35.05881,-106.62369
377,3101,ESCONDIDO CA,33.13193,-117.06435
379,3102,BOURBONNAIS IL,41.16354,-87.84722
381,3106,BOSSIER CITY LA,32.51839,-93.73999
383,3150,SAN ANTONIO TX,29.59407,-98.35231
385,3159,DENHAM SPRINGS LA,30.45816,-90.95853
387,3160,WEST MONROE LA,32.50864,-92.1599
389,3164,PERU IL,41.36334,-89.12705
391,3173,SCHERTZ TX,29.59654,-98.28181
393,3187,LILBURN GA,33.9036,-84.1135
395,3188,MILLINGTON TN,35.35821,-89.89494
397,3209,MORRIS IL,41.393,-88.42374
399,3230,LITHONIA GA,33.69981,-84.09093
401,3232,MOUNT PLEASANT TX,33.1666,-94.99799
403,3234,TUKWILA WA,47.44902,-122.26214
405,3251,PORTLAND OR,45.57362,-122.56141
407,3252,SAN ANTONIO TX,29.35438,-98.48171
409,3253,SIERRA VISTA AZ,31.53431,-110.25796
411,3258,SAN ANTONIO TX,29.49194,-98.70064
413,3265,AVON IN,39.76323,-86.34348
415,3269,SAN ANTONIO TX,29.57309,-98.4787
417,3285,OSWEGO IL,41.69718,-88.31941
419,3286,SAN ANTONIO TX,29.43618,-98.64746
421,3287,SAN ANTONIO TX,29.35224,-98.44142
423,3288,SAN ANTONIO TX,29.4811,-98.36025
425,3308,COLUMBUS IN,39.19884,-85.9518
427,3309,ALBUQUERQUE NM,35.07181,-106.52907
429,3319,SALEM VA,37.29543,-80.02815
431,3338,RIO RANCHO NM,35.23543,-106.69575
433,3350,FISHERS IN,39.92933,-86.02689
435,3355,RICHMOND VA,37.51849,-77.35103
437,3357,"NEW YORK, NY",40.73278,-73.98557
439,3371,INDIANAPOLIS IN,39.822103,-86.278158
441,3381,BROWNSBURG IN,39.85745,-86.39695
443,3387,CHANDLER AZ,33.249638,-111.839916
445,3388,TEMPE AZ,33.422882,-111.92585
447,3389,GROVE CITY OH,39.8789611,-83.057491
449,3406,YORK PA,39.931217,-76.686714
451,3418,DALLAS TX,32.686583,-96.825054
453,3428,LAS CRUCES NM,32.28249,-106.76586
455,3432,NATCHITOCHES LA,31.729574,-93.152779
457,3475,VIRGINIA BEACH VA,36.842788,-76.126956
459,3479,BOLINGBROOK IL,41.720262,-88.038267
461,3481,UPPER DARBY PA,39.958729,-75.257811
463,3484,MONROE MI,41.925265,-83.364704
465,3505,POOLER GA,32.136174,-81.250597
467,3506,MUSTANG OK,35.391222,-97.702706
469,3507,SPRING TX,30.077531,-95.516404
471,3508,GRAND PRAIRIE TX,32.644539,-97.061571
473,3509,RICHMOND TX,29.690356,-95.771264
475,3511,KATY TX,29.7845,-95.7965
477,3512,"Greensboro, NC",36.0958,-79.8181
479,3517,MERIDIAN MS,32.364796,-88.676093
481,3519,LAKEWOOD CO,39.709452,-105.082946
483,3524,ALICE TX,27.767795,-98.039085
485,3525,METAIRIE LA,30.005315,-90.19682
487,3526,SAN ANTONIO TX,29.6132,-98.5996
489,3527,NORTHRIDGE CA,34.233648,-118.552898
491,3528,TULSA OK,36.0137,-95.8846
493,3532,BARTLESVILLE OK,36.732716,-95.934279
495,3533,WOODS CROSS UT,40.863192,-111.901642
497,3536,PLEASANTON TX,28.953597,-98.494932
499,3542,ERIE PA,42.048151,-80.081013
501,3550,SCHAUMBURG IL,42.038786,-88.037685
503,3551,"Lancaster, CA",34.6747,-118.1609
505,3553,MANHATTAN NY,40.847337,-73.93767
507,3572,MANSFIELD OH,40.787172,-82.590316
509,3574,COLORADO SPRINGS CO,38.876455,-104.837179
511,3579,"Fredericksburg, VA",38.342143,-77.496057
513,3581,"Northglenn, CO",39.885779,-104.989457
515,3582,"Paramount, CA",33.8869,-118.1596
517,3586,"WYLIE, TX",33.0111,-96.5725
519,3587,"Derby, KS",37.5676,-97.2435
521,3593,"Zanesville, OH",39.9926,-82.025
523,3610,"Moreno Valley, CA",33.8884,-117.2262
525,4403,WINSTON-SALEM NC,36.0664,-80.25704
527,4406,GREENVILLE SC,34.82399,-82.29323
529,4408,RALEIGH NC,35.82103,-78.59237
531,4410,LAWRENCEVILLE GA,33.97243,-84.01784
533,4415,GREENVILLE NC,35.58032,-77.38144
535,4420,CLARKSVILLE TN,36.59017,-87.29161
537,4423,SALISBURY NC,35.65544,-80.45969
539,4424,VIRGINIA BEACH VA,36.85367,-76.02373
541,4431,CHARLOTTE NC,35.1795,-80.88411
543,4435,KINGSPORT TN,36.55114,-82.52908
545,4438,NEW BERN NC,35.10023,-77.09591
547,4440,JOHNSON CITY TN,36.34956,-82.3999
549,4444,STONE MOUNTAIN GA,33.79874,-84.222
551,4445,MONTGOMERY AL,32.38038,-86.20876
553,4449,HIRAM GA,33.88947,-84.75042
555,4451,ANTIOCH TN,36.04391,-86.6594
557,4452,NORCROSS GA,33.95255,-84.23501
559,4455,HUNTSVILLE AL,34.74401,-86.67877
561,4456,OXFORD AL,33.61436,-85.79209
563,4457,ROCKY MOUNT NC,35.96438,-77.81941
565,4460,ROME GA,34.25242,-85.16469
567,4464,MEMPHIS TN,35.17042,-89.86733
569,4470,ALEXANDRIA LA,31.26922,-92.45865
571,4477,COVINGTON LA,30.4352,-90.08465
